,id,account,total_appraised_value_2019,pct_value_change,latitude,longitude,acreage,zip_code,neighborhood_code,sq_ft,neighborhood,new_owner_date,Offense_Count,school_id,school_type,school_rating,flood_risk,sales_neighborhood_2019
0,1,21750000003,299000.0,0.0,29.746140000000004,-95.36986999999999,0.0405,77002,8400.07,1944.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2009-10-13,4743,101912110,Elementary,75,1,0
1,3,21750000018,296400.0,0.0,29.746190000000002,-95.36995999999999,0.0348,77002,8400.07,1944.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2018-06-29,4743,101912110,Elementary,75,1,0
2,15534,1215300010003,299000.0,0.0,29.7452,-95.36861999999999,0.048,77002,8400.07,1965.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2013-09-09,4743,101912110,Elementary,75,1,0
3,15541,1215300010010,280000.0,0.0,29.745079999999998,-95.36837,0.0396,77002,8400.07,2151.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2013-10-17,4743,101912110,Elementary,75,1,0
4,1,21750000003,299000.0,0.0,29.746140000000004,-95.36986999999999,0.0405,77002,8400.07,1944.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2009-10-13,4743,101912467,Middle,85,1,0
5,3,21750000018,296400.0,0.0,29.746190000000002,-95.36995999999999,0.0348,77002,8400.07,1944.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2018-06-29,4743,101912467,Middle,85,1,0
6,15534,1215300010003,299000.0,0.0,29.7452,-95.36861999999999,0.048,77002,8400.07,1965.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2013-09-09,4743,101912467,Middle,85,1,0
7,15541,1215300010010,280000.0,0.0,29.745079999999998,-95.36837,0.0396,77002,8400.07,2151.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2013-10-17,4743,101912467,Middle,85,1,0
8,1,21750000003,299000.0,0.0,29.746140000000004,-95.36986999999999,0.0405,77002,8400.07,1944.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2009-10-13,4743,101912025,High,95,1,0
9,3,21750000018,296400.0,0.0,29.746190000000002,-95.36995999999999,0.0348,77002,8400.07,1944.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2018-06-29,4743,101912025,High,95,1,0
10,4,21750000019,299803.0,0.0,29.746240000000004,-95.37004,0.0395,77002,8400.07,1944.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2001-01-01,4743,101912025,High,95,1,0
11,15534,1215300010003,299000.0,0.0,29.7452,-95.36861999999999,0.048,77002,8400.07,1965.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2013-09-09,4743,101912025,High,95,1,0
12,15541,1215300010010,280000.0,0.0,29.745079999999998,-95.36837,0.0396,77002,8400.07,2151.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2013-10-17,4743,101912025,High,95,1,0
13,4,21750000019,299803.0,0.0,29.746240000000004,-95.37004,0.0395,77002,8400.07,1944.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2001-01-01,4743,101912058,Elementary,65,1,0
14,4,21750000019,299803.0,0.0,29.746240000000004,-95.37004,0.0395,77002,8400.07,1944.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2001-01-01,4743,101912463,Middle,95,1,0
15,488,270520000008,152100.0,0.0,29.76922,-95.35257,0.1286,77002,7116.0,1598.0,HAILE/SWINEY,1998-08-26,4743,101912025,High,95,1,0
16,489,270520000015,159132.0,5.919235351673001,29.76902,-95.35256,0.0809,77002,7116.0,1308.0,HAILE/SWINEY,2015-01-08,4743,101912025,High,95,1,0
17,490,270520000016,125150.0,0.0,29.76926,-95.35242,0.1149,77002,7116.0,1836.0,HAILE/SWINEY,1988-01-02,4743,101912025,High,95,1,0
18,488,270520000008,152100.0,0.0,29.76922,-95.35257,0.1286,77002,7116.0,1598.0,HAILE/SWINEY,1998-08-26,4743,101912240,Elementary,75,1,0
19,489,270520000015,159132.0,5.919235351673001,29.76902,-95.35256,0.0809,77002,7116.0,1308.0,HAILE/SWINEY,2015-01-08,4743,101912240,Elementary,75,1,0
20,490,270520000016,125150.0,0.0,29.76926,-95.35242,0.1149,77002,7116.0,1836.0,HAILE/SWINEY,1988-01-02,4743,101912240,Elementary,75,1,0
21,488,270520000008,152100.0,0.0,29.76922,-95.35257,0.1286,77002,7116.0,1598.0,HAILE/SWINEY,1998-08-26,4743,101912061,Middle,85,1,0
22,489,270520000015,159132.0,5.919235351673001,29.76902,-95.35256,0.0809,77002,7116.0,1308.0,HAILE/SWINEY,2015-01-08,4743,101912061,Middle,85,1,0
23,490,270520000016,125150.0,0.0,29.76926,-95.35242,0.1149,77002,7116.0,1836.0,HAILE/SWINEY,1988-01-02,4743,101912061,Middle,85,1,0
